name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
Kepler-1043 b,2734,7.04 Earths,14.762,2016
Kepler-1044 b,4916,7.61 Earths,15.306,2016
Kepler-1045 b,3167,7.7 Earths,15.549,2016
Kepler-1046 b,1690,3.57 Earths,13.248,2016
Kepler-1047 b,1846,5.02 Earths,13.329,2016
Kepler-1047 c,1846,0.937 Earths,13.329,2016
Kepler-1054 b,3425,7.41 Earths,14.085,2016
Kepler-1055 b,1377,2.04 Earths,13.073,2016
Kepler-1056 b,3167,9.32 Earths,14.56,2016
Kepler-1057 b,4769,11.2 Earths,15.608,2016
Kepler-1058 b,1713,7.85 Earths,15.504,2016
Kepler-1059 b,2195,3.64 Earths,15.489,2016
Kepler-105 b,1518,5.1 Earths,12.802,2013
Kepler-105 c,1518,4.6 Earths,12.802,2014
Kepler-1060 b,2809,6.26 Earths,14.637,2016
Kepler-1061 b,1908,4.58 Earths,13.204,2016
Kepler-1054 b,3425,7.41 Earths,14.085,2016
Kepler-1055 b,1377,2.04 Earths,13.073,2016
Kepler-1056 b,3167,9.32 Earths,14.56,2016
Kepler-1057 b,4769,11.2 Earths,15.608,2016
Kepler-1058 b,1713,7.85 Earths,15.504,2016
Kepler-1059 b,2195,3.64 Earths,15.489,2016
Kepler-105 b,1518,5.1 Earths,12.802,2013
Kepler-105 c,1518,4.6 Earths,12.802,2014
Kepler-1060 b,2809,6.26 Earths,14.637,2016
Kepler-1061 b,1908,4.58 Earths,13.204,2016
Kepler-1062 b,1266,3.75 Earths,14.805,2016
Kepler-1063 b,1191,2.83 Earths,12.261,2016
Kepler-1064 b,1220,3.02 Earths,13.741,2016
Kepler-1065 b,3516,13.4 Earths,15.502,2016
Kepler-1065 c,3516,3.19 Earths,15.502,2016
Kepler-1066 b,1302,6.17 Earths,13.024,2016
Kepler-1067 b,2248,0.437 Earths,14.273,2016
Kepler-1068 b,4997,12.8 Earths,15.832,2016
Kepler-1069 b,1419,3.19 Earths,13.098,2016
Kepler-106 b,1468,5.3 Earths,12.839,2014
Kepler-1062 b,1266,3.75 Earths,14.805,2016
Kepler-1063 b,1191,2.83 Earths,12.261,2016
Kepler-1064 b,1220,3.02 Earths,13.741,2016
Kepler-1065 b,3516,13.4 Earths,15.502,2016
Kepler-1065 c,3516,3.19 Earths,15.502,2016
Kepler-1066 b,1302,6.17 Earths,13.024,2016
Kepler-1067 b,2248,0.437 Earths,14.273,2016
Kepler-1068 b,4997,12.8 Earths,15.832,2016
Kepler-1069 b,1419,3.19 Earths,13.098,2016
Kepler-106 b,1468,5.3 Earths,12.839,2014
Kepler-106 c,1468,10.44 Earths,12.839,2014
Kepler-106 d,1468,8.1 Earths,12.839,2014
Kepler-106 e,1468,11.17 Earths,12.839,2014
Kepler-1070 b,3392,3.64 Earths,13.913,2016
Kepler-1071 b,3145,6.26 Earths,15.829,2016
Kepler-1072 b,3184,3.12 Earths,13.842,2016
Kepler-1073 b,2730,5.9 Earths,14.532,2016
Kepler-1073 c,2730,3.33 Earths,14.532,2016
Kepler-1074 b,799,2.1 Earths,15.006,2016
Kepler-1075 b,864,2.6 Earths,15.37,2016
Kepler-106 c,1468,10.44 Earths,12.839,2014
Kepler-106 d,1468,8.1 Earths,12.839,2014
Kepler-106 e,1468,11.17 Earths,12.839,2014
Kepler-1070 b,3392,3.64 Earths,13.913,2016
Kepler-1071 b,3145,6.26 Earths,15.829,2016
Kepler-1072 b,3184,3.12 Earths,13.842,2016
Kepler-1073 b,2730,5.9 Earths,14.532,2016
Kepler-1073 c,2730,3.33 Earths,14.532,2016
Kepler-1074 b,799,2.1 Earths,15.006,2016
Kepler-1075 b,864,2.6 Earths,15.37,2016
Kepler-1082 b,2049,1.46 Earths,13.342,2016
Kepler-1083 b,2975,11.2 Earths,15.85,2016
Kepler-1084 b,1393,1.41 Earths,12.158,2016
Kepler-1085 b,4952,0.13 Jupiters,15.247,2016
Kepler-1085 c,4952,10.7 Earths,15.247,2020
Kepler-1086 b,1514,6.53 Earths,15.555,2016
Kepler-1086 c,1514,8.96 Earths,15.555,2016
Kepler-1087 b,1155,0.165 Earths,12.901,2016
Kepler-1088 b,979,2.6 Earths,11.778,2016
Kepler-1089 b,740,4.01 Earths,15.598,2016
Kepler-108 b,2378,0.176 Jupiters,13.084,2014
Kepler-108 c,2378,0.16 Jupiters,13.084,2014
Kepler-1090 b,2290,5.69 Earths,14.996,2016
Kepler-1091 b,2985,2.73 Earths,14.715,2016
Kepler-1092 b,2981,4.94 Earths,14.616,2016
Kepler-1093 b,2766,4.46 Earths,13.808,2016
Kepler-1093 c,2766,4.5 Earths,13.808,2016
Kepler-1094 b,4472,10.2 Earths,14.961,2016
Kepler-1095 b,2473,1.92 Earths,14.526,2016
Kepler-1096 b,1122,2.07 Earths,15.061,2016
Kepler-108 b,2378,0.176 Jupiters,13.084,2014
Kepler-108 c,2378,0.16 Jupiters,13.084,2014
Kepler-1090 b,2290,5.69 Earths,14.996,2016
Kepler-1091 b,2985,2.73 Earths,14.715,2016
Kepler-1092 b,2981,4.94 Earths,14.616,2016
Kepler-1093 b,2766,4.46 Earths,13.808,2016
Kepler-1093 c,2766,4.5 Earths,13.808,2016
Kepler-1094 b,4472,10.2 Earths,14.961,2016
Kepler-1095 b,2473,1.92 Earths,14.526,2016
Kepler-1096 b,1122,2.07 Earths,15.061,2016
Kepler-1097 b,2407,10.7 Earths,15.207,2016
Kepler-1098 b,2858,2.24 Earths,14.733,2016
Kepler-1099 b,3944,8.4 Earths,15.134,2016
Kepler-109 b,1570,7.3 Earths,12.295,2014
Kepler-109 c,1570,21.8 Earths,12.295,2014
Kepler-10 b,608,4.60853 Earths,10.94,2011
Kepler-10 c,608,7.37 Earths,10.94,2011
Kepler-1100 b,3066,3.71 Earths,13.822,2016
Kepler-1101 b,2926,6.66 Earths,15.096,2016
Kepler-1102 b,3216,7.56 Earths,14.922,2016
Kepler-1097 b,2407,10.7 Earths,15.207,2016
Kepler-1098 b,2858,2.24 Earths,14.733,2016
Kepler-1099 b,3944,8.4 Earths,15.134,2016
Kepler-109 b,1570,7.3 Earths,12.295,2014
Kepler-109 c,1570,21.8 Earths,12.295,2014
Kepler-10 b,608,4.60853 Earths,10.94,2011
Kepler-10 c,608,7.37 Earths,10.94,2011
Kepler-1100 b,3066,3.71 Earths,13.822,2016
Kepler-1101 b,2926,6.66 Earths,15.096,2016
Kepler-1102 b,3216,7.56 Earths,14.922,2016
Kepler-1111 b,3725,4.66 Earths,14.715,2016
Kepler-1112 b,5656,9.38 Earths,14.561,2016
Kepler-1113 b,3676,8.3 Earths,14.783,2016
Kepler-1114 b,1393,2.39 Earths,13.758,2016
Kepler-1115 b,3050,3.53 Earths,11.882,2016
Kepler-1116 b,3317,6.99 Earths,15.235,2016
Kepler-1117 b,2019,1.41 Earths,14.124,2016
Kepler-1118 b,2668,7.95 Earths,14.956,2016
Kepler-1119 b,4201,4.35 Earths,15.067,2016
Kepler-111 b,2185,3.12 Earths,13.419,2014
Kepler-1111 b,3725,4.66 Earths,14.715,2016
Kepler-1112 b,5656,9.38 Earths,14.561,2016
Kepler-1113 b,3676,8.3 Earths,14.783,2016
Kepler-1114 b,1393,2.39 Earths,13.758,2016
Kepler-1115 b,3050,3.53 Earths,11.882,2016
Kepler-1116 b,3317,6.99 Earths,15.235,2016
Kepler-1117 b,2019,1.41 Earths,14.124,2016
Kepler-1118 b,2668,7.95 Earths,14.956,2016
Kepler-1119 b,4201,4.35 Earths,15.067,2016
Kepler-111 b,2185,3.12 Earths,13.419,2014
Kepler-1111 b,3725,4.66 Earths,14.715,2016
Kepler-1112 b,5656,9.38 Earths,14.561,2016
Kepler-1113 b,3676,8.3 Earths,14.783,2016
Kepler-1114 b,1393,2.39 Earths,13.758,2016
Kepler-1115 b,3050,3.53 Earths,11.882,2016
Kepler-1116 b,3317,6.99 Earths,15.235,2016
Kepler-1117 b,2019,1.41 Earths,14.124,2016
Kepler-1118 b,2668,7.95 Earths,14.956,2016
Kepler-1119 b,4201,4.35 Earths,15.067,2016
Kepler-111 b,2185,3.12 Earths,13.419,2014
Kepler-111 c,2185,0.132 Jupiters,13.419,2014
Kepler-1120 b,2071,2.48 Earths,15.304,2016
Kepler-1121 b,1726,4.31 Earths,12.017,2016
Kepler-1122 b,3014,4.82 Earths,15.102,2016
Kepler-1123 b,2597,3.43 Earths,14.807,2016
Kepler-1124 b,577,2.18 Earths,15.968,2016
Kepler-1125 b,2968,4.04 Earths,14.877,2016
Kepler-1126 b,2179,3.64 Earths,14.021,2016
Kepler-1127 b,3249,4.5 Earths,15.133,2016
Kepler-1128 b,3794,12.9 Earths,15.686,2016
Kepler-1129 b,4104,9.06 Earths,15.257,2016
Kepler-1129 c,4104,7.9 Earths,15.257,2016
Kepler-112 b,1699,6.17 Earths,13.766,2014
Kepler-112 c,1699,6.35 Earths,13.766,2014
Kepler-1130 b,763,0.437 Earths,12.396,2016
Kepler-1131 b,3618,3.15 Earths,14.937,2016
Kepler-1132 b,3066,6.12 Earths,15.472,2016
Kepler-1133 b,2678,4.54 Earths,14.81,2016
Kepler-1134 b,3252,7.46 Earths,15.825,2016
Kepler-1135 b,2375,4.08 Earths,14.295,2016
Kepler-1129 b,4104,9.06 Earths,15.257,2016
Kepler-1129 c,4104,7.9 Earths,15.257,2016
Kepler-112 b,1699,6.17 Earths,13.766,2014
Kepler-112 c,1699,6.35 Earths,13.766,2014
Kepler-1130 b,763,0.437 Earths,12.396,2016
Kepler-1131 b,3618,3.15 Earths,14.937,2016
Kepler-1132 b,3066,6.12 Earths,15.472,2016
Kepler-1133 b,2678,4.54 Earths,14.81,2016
Kepler-1134 b,3252,7.46 Earths,15.825,2016
Kepler-1135 b,2375,4.08 Earths,14.295,2016
Kepler-1143 c,2062,12.6 Earths,15.194,2016
Kepler-1144 b,3301,4.62 Earths,14.913,2016
Kepler-1145 b,2329,2.54 Earths,15.45,2016
Kepler-1146 b,2264,2.04 Earths,15.85,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1143 c,2062,12.6 Earths,15.194,2016
Kepler-1144 b,3301,4.62 Earths,14.913,2016
Kepler-1145 b,2329,2.54 Earths,15.45,2016
Kepler-1146 b,2264,2.04 Earths,15.85,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1143 c,2062,12.6 Earths,15.194,2016
Kepler-1144 b,3301,4.62 Earths,14.913,2016
Kepler-1145 b,2329,2.54 Earths,15.45,2016
Kepler-1146 b,2264,2.04 Earths,15.85,2016
Kepler-1147 b,4815,7.32 Earths,15.356,2016
Kepler-1148 b,2225,3.5 Earths,15.281,2016
Kepler-1149 b,3337,2.67 Earths,14.931,2016
Kepler-114 b,853,6.8 Earths,13.712,2014
Kepler-114 c,853,2.8 Earths,13.712,2013
Kepler-114 d,853,3.9 Earths,13.712,2013
Kepler-1150 b,1217,1.04 Earths,14.423,2016
Kepler-1151 b,2489,5.56 Earths,14.857,2016
Kepler-1152 b,600,0.59 Earths,14.598,2016
Kepler-1153 b,3865,3.64 Earths,15.798,2016
Kepler-1154 b,4994,6.08 Earths,14.779,2016
Kepler-1154 c,4994,6.17 Earths,14.779,2016
Kepler-1155 b,3220,4.78 Earths,14.739,2016
Kepler-1156 b,2476,2.3 Earths,14.126,2016
Kepler-1157 b,1129,1.32 Earths,14.377,2016
Kepler-1158 b,4104,6.08 Earths,13.574,2016
Kepler-1159 b,4038,6.21 Earths,14.545,2016
Kepler-115 b,2071,1.32 Earths,13.392,2014
Kepler-115 c,2071,7.27 Earths,13.392,2014
Kepler-1160 b,4218,5.22 Earths,15.8,2016
Kepler-1161 b,1396,5.18 Earths,15.8,2016
Kepler-1162 b,3226,5.52 Earths,15.485,2016
Kepler-1163 b,1589,1.08 Earths,12.118,2016
Kepler-1164 b,1458,1.46 Earths,14.09,2016
Kepler-1165 b,3526,3.02 Earths,14.392,2016
Kepler-1166 b,2114,3.5 Earths,14.466,2016
Kepler-1159 b,4038,6.21 Earths,14.545,2016
Kepler-115 b,2071,1.32 Earths,13.392,2014
Kepler-115 c,2071,7.27 Earths,13.392,2014
Kepler-1160 b,4218,5.22 Earths,15.8,2016
Kepler-1161 b,1396,5.18 Earths,15.8,2016
Kepler-1162 b,3226,5.52 Earths,15.485,2016
Kepler-1163 b,1589,1.08 Earths,12.118,2016
Kepler-1164 b,1458,1.46 Earths,14.09,2016
Kepler-1165 b,3526,3.02 Earths,14.392,2016
Kepler-1166 b,2114,3.5 Earths,14.466,2016
Kepler-1167 b,2645,3.57 Earths,15.929,2016
Kepler-1168 b,2972,6.8 Earths,15.609,2016
Kepler-1169 b,1755,0.779 Earths,12.685,2016
Kepler-116 b,3203,11.6 Earths,13.689,2014
Kepler-116 c,3203,5.9 Earths,13.689,2014
Kepler-1170 b,2972,6.39 Earths,15.909,2016
Kepler-1171 b,2006,7.08 Earths,11.459,2016
Kepler-1172 b,4215,10.3 Earths,15.846,2016
Kepler-1173 b,1311,0.64 Earths,13.804,2016
Kepler-1174 b,2704,3.15 Earths,14.159,2016
Kepler-1175 b,4058,9.22 Earths,15.916,2016
Kepler-1176 b,3337,6.57 Earths,15.05,2016
Kepler-1177 b,2704,4.27 Earths,14.508,2016
Kepler-1178 b,1096,1.24 Earths,13.96,2016
Kepler-1179 b,1481,2.3 Earths,14.068,2016
Kepler-117 b,4665,29.875 Earths,14.247,2014
Kepler-117 c,4665,1.84 Jupiters,14.247,2014
Kepler-1180 b,4188,4.62 Earths,14.984,2016
Kepler-1181 b,2828,3.09 Earths,13.455,2016
Kepler-1182 b,4104,6.39 Earths,15.345,2016
Kepler-1175 b,4058,9.22 Earths,15.916,2016
Kepler-1176 b,3337,6.57 Earths,15.05,2016
Kepler-1177 b,2704,4.27 Earths,14.508,2016
Kepler-1178 b,1096,1.24 Earths,13.96,2016
Kepler-1179 b,1481,2.3 Earths,14.068,2016
Kepler-117 b,4665,29.875 Earths,14.247,2014
Kepler-117 c,4665,1.84 Jupiters,14.247,2014
Kepler-1180 b,4188,4.62 Earths,14.984,2016
Kepler-1181 b,2828,3.09 Earths,13.455,2016
Kepler-1182 b,4104,6.39 Earths,15.345,2016
Kepler-1183 b,4495,8.35 Earths,15.83,2016
Kepler-1184 b,3892,7.65 Earths,14.931,2016
Kepler-1185 b,966,2.33 Earths,12.552,2016
Kepler-1186 b,3627,5.6 Earths,15.267,2016
Kepler-1187 b,3357,7.32 Earths,14.566,2016
Kepler-1188 b,3921,4.98 Earths,14.968,2016
Kepler-1189 b,2880,3.78 Earths,14.249,2016
Kepler-118 b,1904,4.5 Earths,14.719,2014
Kepler-118 c,1904,0.144 Jupiters,14.719,2014
Kepler-1190 b,1253,2.33 Earths,14.494,2016
Kepler-1191 b,2858,2.89 Earths,15.312,2016
Kepler-1192 b,3614,6.17 Earths,15.681,2016
Kepler-1193 b,2267,2.3 Earths,13.421,2016
Kepler-1194 b,2009,2.89 Earths,14.103,2016
Kepler-1195 b,2649,4.98 Earths,15.912,2016
Kepler-1196 b,3086,5.6 Earths,14.832,2016
Kepler-1197 b,1647,2.1 Earths,15.113,2016
Kepler-1198 b,2535,2.76 Earths,14.769,2016
Kepler-1199 b,1761,1.6 Earths,13.03,2016
Kepler-119 b,2336,12.6 Earths,14.2,2014
Kepler-119 c,2336,0.721 Earths,14.2,2014
Kepler-11 b,2148,1.9 Earths,14.2,2010
Kepler-11 c,2148,2.9 Earths,14.2,2010
Kepler-11 d,2148,7.3 Earths,14.2,2010
Kepler-11 e,2148,8 Earths,14.2,2010
Kepler-11 f,2148,2 Earths,14.2,2010
Kepler-11 g,2148,25 Earths,14.2,2010
Kepler-1200 b,1889,1.2 Earths,15.789,2016
Kepler-1201 b,3921,5.86 Earths,14.7,2016
Kepler-1202 b,4544,8.96 Earths,15.608,2016
Kepler-119 c,2336,0.721 Earths,14.2,2014
Kepler-11 b,2148,1.9 Earths,14.2,2010
Kepler-11 c,2148,2.9 Earths,14.2,2010
Kepler-11 d,2148,7.3 Earths,14.2,2010
Kepler-11 e,2148,8 Earths,14.2,2010
Kepler-11 f,2148,2 Earths,14.2,2010
Kepler-11 g,2148,25 Earths,14.2,2010
Kepler-1200 b,1889,1.2 Earths,15.789,2016
Kepler-1201 b,3921,5.86 Earths,14.7,2016
Kepler-1202 b,4544,8.96 Earths,15.608,2016
Kepler-1203 b,877,1.2 Earths,14.915,2016
Kepler-1204 b,4182,9.53 Earths,15.295,2016
Kepler-1205 b,2499,2.57 Earths,15.13,2016
Kepler-1206 b,2632,3.33 Earths,15.929,2016
Kepler-1207 b,3086,3.26 Earths,14.449,2016
Kepler-1208 b,2861,5.99 Earths,15.946,2016
Kepler-1209 b,1820,2.89 Earths,12.411,2016
Kepler-120 b,1282,8.5 Earths,14.719,2014
Kepler-120 c,1282,2.96 Earths,14.719,2014
Kepler-1210 b,3768,3.53 Earths,15.566,2016
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1215 b,2287,1.98 Earths,14.425,2016
Kepler-1216 b,3666,2.51 Earths,15.107,2016
Kepler-1217 b,4446,4.62 Earths,15.242,2016
Kepler-1218 b,2176,2.67 Earths,13.551,2016
Kepler-1219 b,2029,5.14 Earths,12.232,2016
Kepler-121 b,1690,6.08 Earths,14.677,2014
Kepler-1211 b,4847,7.04 Earths,15.828,2016
Kepler-1212 b,4254,5.22 Earths,15.024,2016
Kepler-1213 b,2234,1.81 Earths,13.342,2016
Kepler-1214 b,2469,6.17 Earths,15.223,2016
Kepler-1215 b,2287,1.98 Earths,14.425,2016
Kepler-1216 b,3666,2.51 Earths,15.107,2016
Kepler-1217 b,4446,4.62 Earths,15.242,2016
Kepler-1218 b,2176,2.67 Earths,13.551,2016
Kepler-1219 b,2029,5.14 Earths,12.232,2016
Kepler-121 b,1690,6.08 Earths,14.677,2014
Kepler-121 c,1690,5.77 Earths,14.677,2014
Kepler-1220 b,3125,2.92 Earths,14.965,2016
Kepler-1221 b,2965,4.19 Earths,15.58,2016
Kepler-1222 b,1484,0.418 Earths,14.091,2016
Kepler-1223 b,1484,1.98 Earths,14.612,2016
Kepler-1224 b,1885,2.33 Earths,12.825,2016
Kepler-1225 b,4048,3.97 Earths,14.632,2016
Kepler-1226 b,2541,2.7 Earths,14.15,2016
Kepler-1227 b,2176,5.86 Earths,14.176,2016
Kepler-1228 b,1784,2.99 Earths,14.861,2016
Kepler-1229 b,770,2.54 Earths,15.51,2016
Kepler-122 b,3453,6.08 Earths,14.222,2014
Kepler-122 c,3453,29 Earths,14.222,2014
Kepler-122 d,3453,5.48 Earths,14.222,2014
Kepler-122 e,3453,27.7 Earths,14.222,2014
Kepler-122 f,3453,36 Earths,14.222,2014
Kepler-1230 b,4674,7.8 Earths,15.274,2016
Kepler-1231 b,3092,2.6 Earths,14.714,2016
Kepler-1232 b,2414,4.38 Earths,14.762,2016
Kepler-1233 b,4179,7.27 Earths,14.659,2016
Kepler-1229 b,770,2.54 Earths,15.51,2016
Kepler-122 b,3453,6.08 Earths,14.222,2014
Kepler-122 c,3453,29 Earths,14.222,2014
Kepler-122 d,3453,5.48 Earths,14.222,2014
Kepler-122 e,3453,27.7 Earths,14.222,2014
Kepler-122 f,3453,36 Earths,14.222,2014
Kepler-1230 b,4674,7.8 Earths,15.274,2016
Kepler-1231 b,3092,2.6 Earths,14.714,2016
Kepler-1232 b,2414,4.38 Earths,14.762,2016
Kepler-1233 b,4179,7.27 Earths,14.659,2016
Kepler-1234 b,2825,8.3 Earths,15.878,2016
Kepler-1235 b,1739,0.418 Earths,13.877,2016
Kepler-1236 b,3516,5.22 Earths,15.925,2016
Kepler-1237 b,3657,8.55 Earths,15.755,2016
Kepler-1238 b,5001,4.38 Earths,14.733,2016
Kepler-1239 b,8191,8.75 Earths,15.395,2016
Kepler-123 b,3432,0.174 Jupiters,14.021,2014
Kepler-123 c,3432,2.79 Earths,14.021,2014
Kepler-1240 b,2003,1.6 Earths,13.961,2016
Kepler-1241 b,3053,7.41 Earths,15.669,2016
Kepler-1242 b,2225,5.73 Earths,15.498,2016
Kepler-1243 b,2861,3.71 Earths,14.833,2016
Kepler-1244 b,2492,2.39 Earths,12.323,2016
Kepler-1245 b,2809,2.67 Earths,15.372,2016
Kepler-1245 c,2809,2.67 Earths,15.372,2016
Kepler-1246 b,1419,2.42 Earths,15.032,2016
Kepler-1247 b,3569,6.04 Earths,15.901,2016
Kepler-1248 b,1761,1.76 Earths,12.925,2016
Kepler-1249 b,5461,6.26 Earths,15.352,2016
Kepler-124 b,1387,0.315 Earths,14.124,2014
Kepler-1242 b,2225,5.73 Earths,15.498,2016
Kepler-1243 b,2861,3.71 Earths,14.833,2016
Kepler-1244 b,2492,2.39 Earths,12.323,2016
Kepler-1245 b,2809,2.67 Earths,15.372,2016
Kepler-1245 c,2809,2.67 Earths,15.372,2016
Kepler-1246 b,1419,2.42 Earths,15.032,2016
Kepler-1247 b,3569,6.04 Earths,15.901,2016
Kepler-1248 b,1761,1.76 Earths,12.925,2016
Kepler-1249 b,5461,6.26 Earths,15.352,2016
Kepler-124 b,1387,0.315 Earths,14.124,2014
Kepler-124 c,1387,3.71 Earths,14.124,2014
Kepler-124 d,1387,1.41 Earths,14.124,2014
Kepler-1250 b,4472,4.35 Earths,15.569,2016
Kepler-1251 b,2815,4.04 Earths,14.939,2016
Kepler-1252 b,2701,3.43 Earths,14.495,2016
Kepler-1253 b,1272,2.33 Earths,12.457,2016
Kepler-1254 b,2205,3.02 Earths,15.302,2016
Kepler-1254 c,2205,2.24 Earths,15.302,2016
Kepler-1254 d,2205,2.27 Earths,15.302,2016
Kepler-1255 b,4384,5.99 Earths,15.199,2016
Kepler-1256 b,2812,2.83 Earths,13.513,2016
Kepler-1257 b,3526,2.92 Earths,15.512,2016
Kepler-1258 b,2124,0.566 Earths,13.785,2016
Kepler-1259 b,2296,2.63 Earths,15.333,2016
Kepler-125 b,601,6.21 Earths,14.768,2014
Kepler-125 c,601,0.33 Earths,14.768,2014
Kepler-1260 b,3396,3.78 Earths,14.823,2016
Kepler-1261 b,2593,5.73 Earths,15.582,2016
Kepler-1262 b,3761,3.97 Earths,15.184,2016
Kepler-1263 b,2267,1.55 Earths,15.001,2016
Kepler-1256 b,2812,2.83 Earths,13.513,2016
Kepler-1257 b,3526,2.92 Earths,15.512,2016
Kepler-1258 b,2124,0.566 Earths,13.785,2016
Kepler-1259 b,2296,2.63 Earths,15.333,2016
Kepler-125 b,601,6.21 Earths,14.768,2014
Kepler-125 c,601,0.33 Earths,14.768,2014
Kepler-1260 b,3396,3.78 Earths,14.823,2016
Kepler-1261 b,2593,5.73 Earths,15.582,2016
Kepler-1262 b,3761,3.97 Earths,15.184,2016
Kepler-1263 b,2267,1.55 Earths,15.001,2016
Kepler-1264 b,2655,1.76 Earths,14.479,2016
Kepler-1265 b,1895,2.39 Earths,15.566,2016
Kepler-1266 b,2939,7.18 Earths,15.836,2016
Kepler-1267 b,5311,9.32 Earths,15.814,2016
Kepler-1268 b,4586,4.78 Earths,15.222,2016
Kepler-1269 b,2316,3.29 Earths,13.57,2016
Kepler-126 b,780,2.92 Earths,10.454,2014
Kepler-126 c,780,3.12 Earths,10.454,2014
Kepler-126 d,780,6.8 Earths,10.454,2014
Kepler-1270 b,3927,11 Earths,13.285,2016
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1275 b,4175,2.79 Earths,14.406,2016
Kepler-1276 b,1915,1.81 Earths,12.848,2016
Kepler-1277 b,1977,3.19 Earths,14.093,2016
Kepler-1278 b,2424,1.01 Earths,13.632,2016
Kepler-1279 b,3317,3.71 Earths,13.932,2016
Kepler-127 b,1163,2.54 Earths,11.438,2014
Kepler-1271 b,2887,2.79 Earths,13.868,2016
Kepler-1272 b,2923,6.21 Earths,14.384,2016
Kepler-1273 b,4420,6.76 Earths,15.796,2016
Kepler-1274 b,1987,2.6 Earths,11.682,2016
Kepler-1275 b,4175,2.79 Earths,14.406,2016
Kepler-1276 b,1915,1.81 Earths,12.848,2016
Kepler-1277 b,1977,3.19 Earths,14.093,2016
Kepler-1278 b,2424,1.01 Earths,13.632,2016
Kepler-1279 b,3317,3.71 Earths,13.932,2016
Kepler-127 b,1163,2.54 Earths,11.438,2014
Kepler-127 c,1163,7.56 Earths,11.438,2014
Kepler-127 d,1163,7.46 Earths,11.438,2014
Kepler-1280 b,3282,4.16 Earths,14,2016
Kepler-1281 b,3556,3.33 Earths,15.997,2016
Kepler-1282 b,3673,3.02 Earths,15.492,2016
Kepler-1283 b,4736,4.31 Earths,15.07,2016
Kepler-1284 b,2779,1.92 Earths,15.662,2016
Kepler-1285 b,1187,0.871 Earths,11.65,2016
Kepler-1286 b,3751,5.27 Earths,15.142,2016
Kepler-1287 b,3350,2.99 Earths,15.007,2016
Kepler-1288 b,2332,1.46 Earths,13.177,2016
Kepler-1289 b,3454,2.92 Earths,14.599,2016
Kepler-128 b,1308,0.77 Earths,11.289,2013
Kepler-128 c,1308,0.9 Earths,11.289,2013
Kepler-1290 b,4309,2.6 Earths,15.691,2016
Kepler-1291 b,3203,3.39 Earths,15.883,2016
Kepler-1292 b,4586,3.97 Earths,15.948,2016
Kepler-1293 b,2512,0.871 Earths,13.3,2016
Kepler-1294 b,3653,10.3 Earths,15.15,2016
Kepler-1295 b,4100,3.02 Earths,15.908,2016
Kepler-1296 b,2058,0.693 Earths,14.627,2016
Kepler-1297 b,3249,0.871 Earths,14.782,2016
Kepler-1298 b,1624,2.27 Earths,11.313,2016
Kepler-1299 b,4410,9.17 Earths,15.9,2016
Kepler-129 b,1349,6.21 Earths,11.644,2014
Kepler-129 c,1349,7.04 Earths,11.644,2014
Kepler-12 b,2950,0.432 Jupiters,13.8,2011
Kepler-1300 b,2469,2.45 Earths,12.768,2016
Kepler-1301 b,2662,2.54 Earths,15.373,2016
Kepler-1302 b,2371,2.63 Earths,15.039,2016
Kepler-1296 b,2058,0.693 Earths,14.627,2016
Kepler-1297 b,3249,0.871 Earths,14.782,2016
Kepler-1298 b,1624,2.27 Earths,11.313,2016
Kepler-1299 b,4410,9.17 Earths,15.9,2016
Kepler-129 b,1349,6.21 Earths,11.644,2014
Kepler-129 c,1349,7.04 Earths,11.644,2014
Kepler-12 b,2950,0.432 Jupiters,13.8,2011
Kepler-1300 b,2469,2.45 Earths,12.768,2016
Kepler-1301 b,2662,2.54 Earths,15.373,2016
Kepler-1302 b,2371,2.63 Earths,15.039,2016
Kepler-1303 b,2952,2.6 Earths,14.616,2016
Kepler-1304 b,2225,5.86 Earths,15.045,2016
Kepler-1305 b,4381,4.19 Earths,15.714,2016
Kepler-1306 b,3686,4.31 Earths,15.212,2016
Kepler-1307 b,4554,6.66 Earths,15.38,2016
Kepler-1308 b,238,0.0933 Earths,14.474,2016
Kepler-1309 b,2756,6.21 Earths,16.187,2016
